epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2840.78,0.48242,1.2444,0.40907,0.98731,0.90056,0.89677,0.94094,0.82124,0.62845,0.62586,0.56112,0.42352,0.60537,1.45841,0.52318,1.08467,0.000478762,0.000478762,0.000478762
74,2879.53,0.48289,1.24964,0.41099,0.98471,0.90966,0.91016,0.94728,0.8249,0.65468,0.60917,0.57949,0.43323,0.59467,1.41332,0.50494,1.08699,0.000462259,0.000462259,0.000462259
75,2918.34,0.47744,1.24292,0.40843,0.97897,0.92124,0.89582,0.94178,0.8208,0.67506,0.61663,0.57756,0.43054,0.5996,1.40119,0.4918,1.09219,0.000445756,0.000445756,0.000445756
76,2957.21,0.47077,1.19983,0.39875,0.97566,0.89558,0.92305,0.94938,0.82393,0.67996,0.61493,0.57591,0.42457,0.60324,1.34883,0.50229,1.10255,0.000429253,0.000429253,0.000429253
77,2995.82,0.47645,1.20727,0.4021,0.98117,0.93079,0.89069,0.9488,0.82099,0.6678,0.62062,0.58073,0.43408,0.59974,1.35045,0.50281,1.0928,0.000412749,0.000412749,0.000412749
78,3034.82,0.47968,1.25606,0.40858,0.9863,0.91957,0.90313,0.95262,0.82872,0.67303,0.63481,0.58475,0.44251,0.59991,1.3483,0.48228,1.09466,0.000396246,0.000396246,0.000396246
79,3073.38,0.46349,1.22632,0.38315,0.97317,0.91191,0.91727,0.94971,0.82977,0.67453,0.60331,0.56705,0.43414,0.5925,1.39033,0.49849,1.08701,0.000379743,0.000379743,0.000379743
80,3112.11,0.46856,1.23697,0.39469,0.97888,0.90746,0.90563,0.94682,0.82863,0.67765,0.61904,0.57259,0.43793,0.58538,1.36334,0.49613,1.08201,0.000363239,0.000363239,0.000363239
81,3150.85,0.47329,1.26872,0.39663,0.9827,0.90947,0.90649,0.94937,0.82898,0.6742,0.61191,0.57051,0.43346,0.58812,1.3383,0.49558,1.08247,0.000346736,0.000346736,0.000346736
82,3189.51,0.47168,1.22157,0.38981,0.97692,0.93395,0.89915,0.94284,0.8253,0.66214,0.62594,0.56743,0.43067,0.59212,1.37661,0.50588,1.0889,0.000330233,0.000330233,0.000330233
83,3228.22,0.46753,1.22,0.38971,0.97327,0.90765,0.91862,0.947,0.82402,0.65624,0.62998,0.56917,0.43293,0.58841,1.3932,0.48624,1.08595,0.000313729,0.000313729,0.000313729
84,3267.06,0.4576,1.28055,0.38091,0.97365,0.8893,0.9155,0.95104,0.83437,0.6712,0.63278,0.5818,0.44204,0.57803,1.40299,0.50475,1.06948,0.000297226,0.000297226,0.000297226
85,3306,0.46294,1.21603,0.38355,0.97317,0.94694,0.87706,0.94929,0.83122,0.68189,0.62694,0.58561,0.44055,0.58508,1.38232,0.49415,1.08379,0.000280723,0.000280723,0.000280723
86,3344.98,0.45692,1.15781,0.37577,0.97205,0.91783,0.89897,0.94944,0.83206,0.64083,0.60408,0.55618,0.42598,0.58339,1.39729,0.50974,1.0732,0.00026422,0.00026422,0.00026422
87,3383.73,0.46202,1.18838,0.37755,0.9677,0.90738,0.91202,0.94993,0.83884,0.68112,0.63297,0.59735,0.4487,0.57079,1.41985,0.49419,1.06088,0.000247716,0.000247716,0.000247716
88,3422.86,0.46147,1.22049,0.3815,0.97435,0.92438,0.88991,0.9469,0.82736,0.65813,0.60876,0.57059,0.43612,0.57814,1.36681,0.49178,1.07217,0.000231213,0.000231213,0.000231213
89,3462.34,0.4574,1.20486,0.38333,0.97124,0.92339,0.89879,0.94863,0.83693,0.65593,0.62996,0.57796,0.43895,0.57403,1.36682,0.48125,1.06871,0.00021471,0.00021471,0.00021471
90,3501.36,0.45549,1.20281,0.37506,0.9663,0.9348,0.89261,0.9472,0.83429,0.67174,0.64681,0.58869,0.4432,0.57765,1.4369,0.48741,1.07059,0.000198206,0.000198206,0.000198206
91,3548.85,0.41609,0.74784,0.34644,0.98415,0.9399,0.89333,0.94908,0.83457,0.65917,0.61954,0.57695,0.44027,0.58437,1.38705,0.47583,1.08028,0.000181703,0.000181703,0.000181703
92,3587.29,0.40453,0.73769,0.32102,0.97636,0.93716,0.89347,0.95143,0.8371,0.67064,0.64271,0.59794,0.45055,0.57268,1.44771,0.47487,1.07152,0.0001652,0.0001652,0.0001652
93,3626.04,0.39885,0.72486,0.31201,0.97114,0.92276,0.91202,0.95297,0.84476,0.66102,0.6457,0.59805,0.4509,0.56648,1.40115,0.46586,1.06181,0.000148696,0.000148696,0.000148696
94,3665.36,0.39504,0.72444,0.31074,0.96402,0.92534,0.90537,0.94989,0.84112,0.64723,0.63857,0.59001,0.44872,0.57549,1.40886,0.47463,1.07571,0.000132193,0.000132193,0.000132193
95,3703.76,0.39066,0.74194,0.30506,0.96309,0.9231,0.91181,0.95186,0.84583,0.67455,0.64754,0.60609,0.46146,0.55992,1.40205,0.46851,1.04904,0.00011569,0.00011569,0.00011569
96,3742.86,0.38798,0.70753,0.30224,0.95818,0.91938,0.91569,0.95036,0.8433,0.65085,0.65162,0.60221,0.45892,0.56464,1.40395,0.47366,1.05976,9.91865e-05,9.91865e-05,9.91865e-05
97,3781.89,0.3819,0.71476,0.30282,0.95435,0.92976,0.90408,0.9501,0.84461,0.6569,0.64296,0.59681,0.45547,0.55611,1.43998,0.47006,1.04824,8.26832e-05,8.26832e-05,8.26832e-05
98,3820.81,0.37886,0.69966,0.29713,0.95963,0.93709,0.89773,0.94977,0.84637,0.67435,0.64642,0.61409,0.46205,0.55576,1.44495,0.46808,1.04689,6.61799e-05,6.61799e-05,6.61799e-05
99,3859.81,0.38038,0.70593,0.29423,0.95242,0.92119,0.91259,0.94936,0.84684,0.67357,0.64599,0.61213,0.46444,0.56118,1.44566,0.46861,1.05721,4.96766e-05,4.96766e-05,4.96766e-05
100,3898.84,0.37372,0.69807,0.29293,0.95173,0.918,0.91796,0.95021,0.84616,0.67965,0.63878,0.60716,0.46192,0.55746,1.43819,0.46935,1.0517,3.31733e-05,3.31733e-05,3.31733e-05
